Announced_Date,Validate_Date,Before_Adjustment_Large_Financial_Institutions,After_Adjustment_Large_Financial_Institutions,Adjustment_of_Large_Financial_Institutions,Before_Adjustment_Small-Medium_Financial_Institutions,After_Adjustment_Small-Medium_Financial_Institutions,Adjustment_Small-Medium_Financial_Institutions,Change_of_Shanghai_Index_After_Announced,Change_of_Shenzhen_Index_After_Announced,
2021年12月6日,2021年12月15日,12.00%,11.50%,-0.50%,10.00%,9.50%,-0.50%,0.16%,-0.38%,备注
2021年7月9日,2021年7月15日,12.50%,12.00%,-0.50%,10.50%,10.00%,-0.50%,0.67%,2.14%,
2020年1月1日,2020年1月6日,13.00%,12.50%,-0.50%,11.00%,10.50%,-0.50%,1.15%,1.99%,
2019年9月6日,2019年9月16日,13.50%,13.00%,-0.50%,11.50%,11.00%,-0.50%,0.84%,1.82%,
2019年1月4日,2019年1月25日,14.00%,13.50%,-0.50%,12.00%,11.50%,-0.50%,0.72%,1.58%,
2019年1月4日,2019年1月15日,14.50%,14.00%,-0.50%,12.50%,12.00%,-0.50%,0.72%,1.58%,
2018年10月7日,2018年10月15日,15.50%,14.50%,-1.00%,13.50%,12.50%,-1.00%,-3.72%,-4.05%,
2018年6月24日,2018年7月5日,16.00%,15.50%,-0.50%,14.00%,13.50%,-0.50%,-1.05%,-0.90%,
2018年4月17日,2018年4月25日,17.00%,16.00%,-1.00%,15.00%,14.00%,-1.00%,0.80%,0.92%,
2016年2月29日,2016年3月1日,17.50%,17.00%,-0.50%,15.50%,15.00%,-0.50%,1.68%,2.47%,
2015年10月23日,2015年10月24日,18.00%,17.50%,-0.50%,16.00%,15.50%,-0.50%,0.50%,0.73%,
2015年8月25日,2015年9月6日,18.50%,18.00%,-0.50%,16.50%,16.00%,-0.50%,-1.27%,-2.92%,
2015年4月19日,2015年4月20日,19.50%,18.50%,-1.00%,17.50%,16.50%,-1.00%,-1.64%,-1.96%,
2015年2月4日,2015年2月5日,20.00%,19.50%,-0.50%,18.00%,17.50%,-0.50%,-1.18%,-0.46%,
2012年5月12日,2012年5月18日,20.50%,20.00%,-0.50%,18.50%,18.00%,-0.50%,-0.59%,-1.16%,
2012年2月18日,2012年2月24日,21.00%,20.50%,-0.50%,19.00%,18.50%,-0.50%,0.27%,0.01%,
2011年11月30日,2011年12月5日,21.50%,21.00%,-0.50%,19.50%,19.00%,-0.50%,2.29%,2.32%,
2011年6月14日,2011年6月20日,21.00%,21.50%,0.50%,19.00%,19.50%,0.50%,-0.90%,-0.99%,
2011年5月12日,2011年5月18日,20.50%,21.00%,0.50%,18.50%,19.00%,0.50%,0.95%,0.70%,
2011年4月17日,2011年4月21日,20.00%,20.50%,0.50%,18.00%,18.50%,0.50%,0.22%,0.27%,
2011年3月18日,2011年3月25日,19.50%,20.00%,0.50%,17.00%,18.00%,1.00%,0.08%,-0.62%,
2011年2月18日,2011年2月24日,19.00%,19.50%,0.50%,16.50%,17.00%,0.50%,1.12%,2.06%,
2011年1月14日,2011年1月20日,18.50%,19.00%,0.50%,16.50%,16.50%,0.00%,-3.03%,-4.55%,
2010年12月10日,2010年12月20日,18.00%,18.50%,0.50%,16.00%,16.50%,0.50%,2.88%,3.57%,
2010年11月19日,2010年11月29日,17.50%,18.00%,0.50%,15.50%,16.00%,0.50%,-0.15%,0.06%,
2010年11月10日,2010年11月16日,17.00%,17.50%,0.50%,15.00%,15.50%,0.50%,1.04%,-0.15%,
2010年5月2日,2010年5月10日,16.50%,17.00%,0.50%,14.50%,15.00%,0.50%,-1.23%,-1.81%,
2010年2月12日,2010年2月25日,16.00%,16.50%,0.50%,14.00%,14.50%,0.50%,-0.49%,-0.74%,
2010年1月12日,2010年1月18日,15.50%,16.00%,0.50%,13.50%,14.00%,0.50%,-3.09%,-2.73%,
2008年12月22日,2008年12月25日,16.00%,15.50%,-0.50%,14.00%,13.50%,-0.50%,-4.55%,-4.69%,
2008年11月26日,2008年12月5日,17.00%,16.00%,-1.00%,16.00%,14.00%,-2.00%,1.05%,2.30%,
2008年10月8日,2008年10月15日,17.50%,17.00%,-0.50%,16.50%,16.00%,-0.50%,-0.84%,-2.40%,
2008年9月15日,2008年9月25日,17.50%,17.50%,0.00%,17.50%,16.50%,-1.00%,-4.47%,-0.89%,
2008年6月7日,2008年6月25日,17.00%,17.50%,0.50%,17.00%,17.50%,0.50%,-7.73%,-8.25%,
2008年6月7日,2008年6月15日,16.50%,17.00%,0.50%,16.50%,17.00%,0.50%,-7.73%,-8.25%,
2008年5月12日,2008年5月20日,16.00%,16.50%,0.50%,16.00%,16.50%,0.50%,-1.84%,-0.70%,
2008年4月16日,2008年4月25日,15.50%,16.00%,0.50%,15.50%,16.00%,0.50%,-2.09%,-3.32%,
2008年3月18日,2008年3月25日,15.00%,15.50%,0.50%,15.00%,15.50%,0.50%,2.53%,4.45%,
2008年1月16日,2008年1月25日,14.50%,15.00%,0.50%,14.50%,15.00%,0.50%,-2.63%,-2.41%,
2007年12月8日,2007年12月25日,13.50%,14.50%,1.00%,13.50%,14.50%,1.00%,1.38%,2.07%,
2007年11月10日,2007年11月26日,13.00%,13.50%,0.50%,13.00%,13.50%,0.50%,-2.40%,-0.55%,
2007年10月13日,2007年10月25日,12.50%,13.00%,0.50%,12.50%,13.00%,0.50%,2.15%,-0.24%,
2007年9月6日,2007年9月25日,12.00%,12.50%,0.50%,12.00%,12.50%,0.50%,-2.16%,-2.21%,
2007年7月30日,2007年8月15日,11.50%,12.00%,0.50%,11.50%,12.00%,0.50%,0.68%,0.92%,
2007年5月18日,2007年6月5日,11.00%,11.50%,0.50%,11.00%,11.50%,0.50%,1.04%,1.40%,
2007年4月29日,2007年5月15日,10.50%,11.00%,0.50%,10.50%,11.00%,0.50%,2.16%,1.66%,
2007年4月5日,2007年4月16日,10.00%,10.50%,0.50%,10.00%,10.50%,0.50%,0.13%,1.17%,
2007年2月16日,2007年2月25日,9.50%,10.00%,0.50%,9.50%,10.00%,0.50%,1.41%,0.05%,
2007年1月5日,2007年1月15日,9.00%,9.50%,0.50%,9.00%,9.50%,0.50%,2.49%,2.45%,
