Quarter,Climate_Index_Enterprise,Climate_Index_Enterprise_YOY,Climate_Index_Enterprise_Comparative,Macro_econ_Climate_Index,Macro_econ_Climate_Index_YOY,Macro_econ_Climate_Index_Comparative
2021年第4季度,119.2,19.20%,0.00%,-,-,-
2021年第3季度,119.2,19.20%,-4.60%,120.9,20.90%,-5.10%
2021年第2季度,123.8,23.80%,-1.40%,126,26.00%,-1.80%
2021年第1季度,125.2,25.20%,3.29%,127.8,27.80%,4.36%
2020年第4季度,121.91,21.91%,0.76%,123.44,23.44%,0.90%
2020年第3季度,121.15,21.15%,12.04%,122.54,22.54%,12.13%
2020年第2季度,109.12,9.12%,20.90%,110.41,10.41%,19.55%
2020年第1季度,88.22,-11.78%,-34.58%,90.86,-9.14%,-32.74%
2019年第4季度,122.8,22.80%,-0.60%,123.6,23.60%,-0.70%
2019年第3季度,123.4,23.40%,0.20%,124.3,24.30%,0.20%
2019年第2季度,123.2,23.20%,-3.40%,124.1,24.10%,-3.80%
2019年第1季度,126.6,26.60%,6.40%,127.9,27.90%,6.60%
2018年第4季度,120.2,20.20%,-2.50%,121.3,21.30%,-2.30%
2018年第3季度,122.7,22.70%,-1.80%,123.6,23.60%,-2.20%
2018年第2季度,124.5,24.50%,-2.10%,125.8,25.80%,-2.20%
2018年第1季度,126.6,26.60%,3.20%,128,28.00%,4.10%
2017年第4季度,123.4,23.40%,-0.10%,123.9,23.90%,0.30%
2017年第3季度,123.5,23.50%,0.40%,123.6,23.60%,0.50%
2017年第2季度,123.1,23.10%,-0.30%,123.1,23.10%,-0.60%
2017年第1季度,123.4,23.40%,9.90%,123.7,23.70%,10.10%
2016年第4季度,113.5,13.50%,2.20%,113.6,13.60%,2.20%
2016年第3季度,111.3,11.30%,3.50%,111.4,11.40%,3.40%
2016年第2季度,107.8,7.80%,0.70%,108,8.00%,0.10%
2016年第1季度,107.1,7.10%,-5.10%,107.9,7.90%,-1.00%
2015年第4季度,112.2,12.20%,-3.30%,108.9,8.90%,-3.20%
2015年第3季度,115.5,15.50%,-3.00%,112.1,12.10%,-2.40%
2015年第2季度,118.5,18.50%,-5.80%,114.5,14.50%,-6.10%
2015年第1季度,124.3,24.30%,6.30%,120.6,20.60%,5.50%
2014年第4季度,118,18.00%,-4.30%,115.1,15.10%,-3.90%
2014年第3季度,122.3,22.30%,-2.90%,119,19.00%,-2.40%
2014年第2季度,125.2,25.20%,-,121.4,21.40%,-2.90%
2014年第1季度,-,-,-,124.3,24.30%,7.20%
2013年第4季度,119.5,19.50%,-2.00%,117.1,17.10%,-2.40%
2013年第3季度,121.5,21.50%,0.90%,119.5,19.50%,2.50%
2013年第2季度,120.6,20.60%,-5.00%,117,17.00%,-5.40%
2013年第1季度,125.6,25.60%,1.20%,122.4,22.40%,2.00%
2012年第4季度,124.4,24.40%,1.60%,120.4,20.40%,3.90%
2012年第3季度,122.8,22.80%,-4.13%,116.5,16.50%,-4.65%
2012年第2季度,126.93,26.93%,-0.41%,121.15,21.15%,-1.85%
2012年第1季度,127.34,27.34%,-0.86%,123,23.00%,1.00%
2011年第4季度,128.2,28.20%,-5.20%,122,22.00%,-7.40%
2011年第3季度,133.4,33.40%,-2.20%,129.4,29.40%,-3.00%
2011年第2季度,135.6,35.60%,1.80%,132.4,32.40%,-5.00%
2011年第1季度,133.8,33.80%,-4.20%,137.4,37.40%,0.40%
2010年第4季度,138,38.00%,0.10%,137,37.00%,1.10%
2010年第3季度,137.9,37.90%,2.00%,135.9,35.90%,2.90%
2010年第2季度,135.9,35.90%,3.00%,133,33.00%,-2.50%
2010年第1季度,132.9,32.90%,2.30%,135.5,35.50%,7.80%
2009年第4季度,130.6,30.60%,6.20%,127.7,27.70%,7.60%
2009年第3季度,124.4,24.40%,8.50%,120.1,20.10%,9.90%
2009年第2季度,115.9,15.90%,10.30%,110.2,10.20%,9.10%
2009年第1季度,105.6,5.60%,-1.40%,101.1,1.10%,6.50%
2008年第4季度,107,7.00%,-21.60%,94.6,-5.40%,-29.20%
2008年第3季度,128.6,28.60%,-8.80%,123.8,23.80%,-11.00%
2008年第2季度,137.4,37.40%,1.20%,134.8,34.80%,-5.80%
2008年第1季度,136.2,36.20%,-7.40%,140.6,40.60%,1.00%
2007年第4季度,143.6,43.60%,-1.10%,139.6,39.60%,-3.40%
2007年第3季度,144.7,44.70%,-1.30%,143,43.00%,-0.10%
2007年第2季度,146,46.00%,6.30%,143.1,43.10%,1.10%
2007年第1季度,139.7,39.70%,0.30%,142,42.00%,6.70%
2006年第4季度,139.4,39.40%,2.70%,135.3,35.30%,2.70%
2006年第3季度,136.7,36.70%,0.80%,132.6,32.60%,0.10%
2006年第2季度,135.9,35.90%,4.40%,132.5,32.50%,-0.60%
2006年第1季度,131.5,31.50%,-0.20%,133.1,33.10%,7.70%
2005年第4季度,131.7,31.70%,-0.30%,125.4,25.40%,-2.20%
2005年第3季度,132,32.00%,0.29%,127.6,27.60%,-0.90%
2005年第2季度,131.71,31.71%,-0.75%,128.5,28.50%,-7.35%
2005年第1季度,132.46,32.46%,-2.27%,135.85,35.85%,5.04%
