Date,Shanghai_Issued_TotalCapital,Shenzhen_Issued_TotalCapital,Shanghai_MarketValue,Shenzhen_MarketValue,Shanghai_Trading_Value,Shenzhen_Trading_Value,Shanghai_Trading_Volume,Shenzhen_Trading_Volume,Shanghai_Index_A_Max,Shenzhen_Index_A_Max,Shanghai_Index_A_Min,Shenzhen_Index_A_Min
2022年3月,-,-,-,-,-,-,-,-,3500,2437,3438,2402
2022年2月,-,-,-,-,-,-,-,-,3500,2447,3390,2381
2022年1月,46422,24648,481719,357508,82773,117864,6639,9050,3652,2661,3357,2400
2021年12月,46237,24457,519698,396390,109962,148579,8674,10787,3709,2691,3559,2621
2021年11月,45720,24142,506720,390845,103474,146555,7177,9727,3603,2646,3448,2514
2021年10月,45592,24006,498061,369196,73148,89380,5628,6022,3625,2558,3503,2507
2021年9月,45495,23939,499887,367040,129329,144903,10751,10392,3724,2640,3515,2497
2021年8月,45155,23799,496678,370640,127400,165951,8958,10707,3544,2611,3368,2523
2021年7月,44151,23709,469545,360891,115788,149099,7919,9868,3608,2620,3313,2444
2021年6月,43990,23602,491818,371917,93283,115826,6700,8309,3629,2582,3503,2470
2021年5月,43341,23355,486277,364243,72194,86861,5817,6622,3626,2532,3385,2359
2021年4月,43010,23226,457628,345644,68925,89685,5706,7147,3497,2431,3373,2311
2021年3月,42920,23105,453444,330286,84279,101681,7457,8248,3578,2473,3328,2279
2021年2月,42851,23034,461069,339722,65364,79355,4856,5319,3732,2629,3466,2428
2021年1月,42674,22978,457015,344614,96861,121853,6654,7981,3637,2602,3447,2485
2021年累计,,,,,162225,201208,11510,13300,,,,
2020年12月,42601,22855,455322,341917,84058,104352,6482,7855,3475,2438,3325,2353
2020年11月,42306,22704,441857,327666,72843,102926,5698,7381,3457,2450,3210,2332
2020年10月,42214,22642,416867,318942,42839,76863,3046,5379,3371,2415,3219,2323
2020年9月,42096,22502,413729,307958,62290,107582,4923,8815,3426,2440,3202,2253
2020年8月,41887,22409,433279,326197,96430,126537,7371,9724,3457,2438,3263,2334
2020年7月,41778,22355,420926,317249,132681,169282,10262,12985,3459,2442,2985,2086
2020年6月,41597,22255,372015,276759,57496,87734,4717,7254,2991,2071,2872,1931
2020年5月,41210,22025,349402,250708,44987,67500,3717,5714,2914,1910,2802,1838
2020年4月,41078,21852,347423,246570,50717,81121,4716,7472,2866,1861,2720,1766
2020年3月,40915,21710,330897,231957,75158,115845,7002,10326,3074,2023,2647,1747
2020年2月,40826,21625,346830,249810,75661,121062,6547,10231,3059,2036,2685,1701
2020年1月,40761,21586,354226,242953,44701,67589,3880,5957,3127,1914,2955,1839
2020年累计,,,,,839861,1228392,68361,99091,,,,
2019年12月,40199,21521,355520,237415,44383,68632,4149,6381,3052,1802,2857,1677
2019年11月,39441,21368,329076,217811,33732,51572,3061,4571,3008,1743,2859,1673
2019年10月,39193,21372,332673,220021,29841,46854,2644,4291,3026,1743,2892,1683
2019年9月,39069,21363,329092,216744,45728,67821,3965,6123,3043,1771,2884,1691
2019年8月,38990,21297,325977,213733,42764,55882,3710,5272,2927,1679,2734,1565
2019年7月,38945,20854,330361,210142,40036,51547,3731,5058,3048,1696,2880,1617
2019年6月,38642,20680,327972,208325,38597,48877,3988,4982,3013,1656,2822,1558
2019年5月,38329,20465,318321,204644,43268,55043,4476,5686,2987,1660,2833,1582
2019年4月,38161,20268,336590,218668,75714,93136,7495,9092,3288,1882,3050,1721
2019年3月,38104,20206,337193,225662,83135,103132,8705,10817,3130,1789,2931,1636
2019年2月,38032,20115,320194,204669,38548,50375,4475,5952,2997,1654,2591,1370
2019年1月,37986,20042,281024,167862,28097,37444,3393,4607,2630,1396,2441,1325
2019年累计,,,,,543844,730315,53792,72832,,,,
2018年12月,37709,19872,269515,165409,22545,30708,2590,3623,2666,1452,2463,1334
2018年11月,37683,19919,279654,173969,33634,44472,4072,5449,2704,1483,2555,1386
2018年10月,37287,19885,278622,167912,24542,27834,2750,3309,2772,1481,2449,1315
2018年9月,37210,19806,301557,185059,21617,28127,2159,3092,2827,1535,2644,1458
2018年8月,37136,19675,290651,185051,28824,36971,2831,3706,2897,1657,2653,1517
2018年7月,37022,19629,305437,200771,32668,45120,3058,4056,2915,1709,2691,1627
2018年6月,36460,19455,299582,204635,31183,38637,2638,3151,3129,1868,2782,1658
2018年5月,35996,19154,320701,223519,38290,51597,2997,3792,3220,1940,3041,1845
2018年4月,35787,18799,317967,224566,33861,48527,2712,3479,3221,1955,3042,1866
2018年3月,35689,18682,325667,233852,44143,59156,3717,4410,3334,1998,3091,1872
2018年2月,35571,18630,334106,227540,32742,31651,2897,2546,3495,1965,3063,1780
2018年1月,35455,18532,351042,234531,57917,56973,4813,4190,3587,2056,3314,1986
2018年累计,,,,,401965,499774,37235,44803,,,,
2017年12月,35288,18458,331325,235761,36620,43618,2961,3132,3325,2010,3254,1966
2017年11月,35003,18322,330215,233801,51555,60481,3997,4122,3450,2141,3301,2006
2017年10月,34801,18243,334498,244623,34158,45242,2717,3178,3421,2131,3357,2091
2017年9月,34685,18159,327809,241491,49580,65521,4248,4604,3392,2108,3333,2046
2017年8月,34566,18058,327101,234872,55526,62147,5069,4798,3377,2034,3201,1953
2017年7月,34435,17949,316976,225201,45183,52429,4200,4104,3277,2006,3140,1894
2017年6月,34153,17685,307465,226857,36689,48070,3213,3572,3193,1989,3079,1874
2017年5月,33683,17208,297775,215838,36229,45075,3245,3240,3155,2001,3017,1881
2017年4月,33440,16737,300303,227178,42432,49650,3804,3545,3295,2129,3097,1980
2017年3月,33292,16466,304480,235108,51129,64814,4140,4022,3283,2149,3193,2081
2017年2月,33131,16375,303722,234490,37965,42871,3423,3041,3264,2096,3132,2009
2017年1月,33012,16335,294122,223125,30704,36938,2782,2624,3175,2104,3044,1955
2017年累计,,,,,507770,616855,43799,43982,,,,
2016年12月,32708,16043,284608,223078,44418,53870,3997,3632,3280,2218,3068,2065
2016年11月,32535,15917,295303,235368,58917,77553,5235,4993,3301,2243,3094,2168
2016年10月,32406,15827,278042,226855,30822,46424,2806,3102,3137,2174,3015,2127
2016年9月,32239,15650,265741,219266,31626,51007,2821,3391,3106,2153,2969,2072
2016年8月,31997,15318,270601,221034,44693,67074,3974,4423,3140,2146,2932,2015
2016年7月,31602,15216,256920,209544,47371,79885,4044,4936,3069,2148,2923,2045
2016年6月,31328,14948,250920,212000,37931,76793,3197,4584,2946,2074,2808,1921
2016年5月,30892,14248,248544,200098,31737,58969,2868,3665,3004,2040,2781,1873
2016年4月,30621,13452,249671,198237,42273,72081,3798,4347,3097,2077,2905,1951
2016年3月,30494,13130,254082,200075,53789,80192,5110,5294,3028,2020,2669,1771
2016年2月,30384,12991,226321,170707,30827,47358,3019,3189,2934,1981,2639,1776
2016年1月,30326,12890,229464,174336,43461,64773,4016,4250,3539,2411,2638,1774
2016年累计,,,,,497865,775980,44884,49807,,,,
2015年12月,30236,12779,295194,236110,72216,110173,5378,5851,3685,2497,3399,2300
2015年11月,30043,12499,284894,218742,92310,130963,7077,7308,3678,2468,3302,2101
2015年10月,29849,12343,278486,198136,64279,86363,5460,5569,3458,2152,3133,1880
2015年9月,29722,12168,251075,168454,56308,59810,5366,4460,3257,1892,2984,1725
2015年8月,29496,11695,263125,174902,107950,97242,8736,5995,4006,2449,2851,1833
2015年7月,29434,11597,300013,204833,161218,120223,13203,7129,4317,2639,3374,1975
2015年6月,29064,11439,346691,237883,200365,166248,12893,7570,5178,3305,3848,2580
2015年5月,28150,10984,360626,266840,163911,148165,10705,7031,4987,3106,4099,2311
2015年4月,27966,10443,348419,215072,174090,126548,12725,6889,4572,2399,3742,2102
2015年3月,27819,10046,292210,184808,113019,95495,9468,5840,3836,2070,3198,1739
2015年2月,27598,9932,255116,152477,41448,34526,3636,2256,3325,1704,3049,1568
2015年1月,27390,9872,244996,140429,78475,49195,7053,3438,3407,1625,3095,1505
2015年累计,,,,,1325588,1224950,101702,69338,,,,
2014年12月,27085,9710,243974,128573,115174,65964,11428,5086,3239,1572,2666,1468
2014年11月,26969,9519,201252,126575,48996,39906,5712,3275,2683,1484,2402,1384
2014年10月,26912,9479,180974,119512,31376,33729,3714,2836,2424,1419,2280,1360
2014年9月,26819,9420,176124,117424,35653,40872,4206,3508,2365,1394,2218,1287
2014年8月,26592,9267,163342,105359,27982,32823,3359,2959,2249,1289,2181,1215
2014年7月,26503,9236,161471,100519,23994,29322,3000,2688,2202,1211,2033,1151
2014年6月,26364,9119,149421,94708,13193,19112,1606,1643,2087,1145,2011,1097
2014年5月,26205,8912,148664,91060,12055,15461,1520,1369,2061,1113,1991,1062
2014年4月,26071,8636,147495,88780,16876,17993,2077,1618,2147,1145,1998,1065
2014年3月,26016,8207,147742,88884,18703,23516,2320,2034,2080,1161,1974,1095
2014年2月,25947,8172,148812,92871,17969,25928,2057,2031,2178,1214,2014,1139
2014年1月,25924,8163,146312,91514,13664,22124,1570,1768,2113,1141,1985,1075
2014年累计,,,,,375634,366751,42567,30816,,,,
2013年12月,25752,8070,151165,87912,18262,21291,2104,1834,2261,1121,2069,1074
2013年11月,25600,8022,157701,89983,19287,20807,2196,1854,2234,1138,2079,1053
2013年10月,25562,8006,151970,84225,21017,22439,2383,1997,2243,1155,2093,1078
2013年9月,25499,7990,154176,87100,25466,21418,3008,1992,2270,1109,2078,1052
2013年8月,25460,7954,148445,81747,20726,24435,2495,2244,2199,1075,1997,1014
2013年7月,25395,7946,141092,77440,18236,23266,2170,2111,2093,1028,1946,933.9
2013年6月,25251,7855,139775,73038,13326,15167,1555,1407,2313,1084,1850,921.7
2013年5月,24896,7692,162318,85437,20970,24048,2305,2127,2334,1093,2161,957.8
2013年4月,24787,7427,153372,75269,12887,12853,1501,1168,2253,989.8,2166,949.2
2013年3月,24734,7321,157312,76373,20452,18244,2334,1684,2370,1022,2229,967.7
2013年2月,24717,7263,166306,79210,16319,13954,1831,1265,2445,1017,2290,984.1
2013年1月,24692,7251,167497,76411,22660,20542,2682,1972,2392,983.9,2235,923.7
2013年累计,,,,,229609,238463,26564,21654,,,,
2012年12月,24618,7216,158698,71659,17251,14434,2257,1555,2270,919.8,1949,777.4
2012年11月,24583,7217,138226,61152,9210,8309,1251,923,2123,905,1959,787.1
2012年10月,24565,7199,144325,68459,9233,9016,1235,961.7,2138,923.8,2053,881.3
2012年9月,24490,7176,145003,68944,11582,11635,1438,1137,2145,946.1,1999,875.8
2012年8月,24466,7121,142247,67318,11475,12550,1366,1175,2177,952.5,2033,880.1
2012年7月,24331,7092,145228,67964,12214,12753,1353,1087,2245,986.3,2100,901.2
2012年6月,24202,6937,153189,73020,12178,11851,1284,1026,2388,1019,2189,963.7
2012年5月,24019,6759,162995,76313,19452,15685,2000,1357,2454,1029,2309,991.5
2012年4月,23859,6480,164411,73767,14719,12119,1638,1119,2416,1007,2251,962
2012年3月,23791,6374,154942,69763,20327,18303,2101,1484,2476,1067,2242,940.6
2012年2月,23526,6319,164764,74047,17746,15916,1956,1417,2478,1035,2263,904.6
2012年1月,23499,6303,155021,65898,9075,7552,1049,692.3,2324,931.1,2133,855.4
2012年累计,,,,,164461,150122,18928,13932,,,,
2011年12月,23467,6278,148376,66382,10291,9698,1162,807.5,2424,1081,2134,889.6
2011年11月,23400,6211,156402,75314,16326,16228,1651,1206,2537,1139,2319,1074
2011年10月,23310,6167,165015,77968,11182,9501,1205,755.6,2484,1097,2307,1022
2011年9月,23173,6148,156629,74967,12132,10185,1193,768.2,2585,1207,2348,1061
2011年8月,23118,6081,169770,84847,19185,17788,1808,1216,2713,1252,2438,1171
2011年7月,23004,5998,177655,85726,23058,19115,1976,1310,2827,1297,2677,1225
2011年6月,22768,5861,181251,82964,18543,12843,1630,981.8,2774,1212,2611,1135
2011年5月,22488,5684,179411,78781,20492,13581,1802,1016,2933,1274,2689,1158
2011年4月,22299,5390,189910,84727,27369,18556,2326,1286,3067,1351,2871,1256
2011年3月,22134,5206,190187,87475,37034,26265,2949,1623,3012,1377,2851,1328
2011年2月,22068,5129,187914,88943,21668,15907,1759,936.4,2944,1362,2760,1255
2011年1月,22030,5091,179868,81422,20276,14423,1732,857.3,2868,1378,2661,1199
2011年累计,,,,,237555,184089,21193,12764,,,,
2010年12月,21940,5045,179007,86415,26543,23039,1293,1307,2939,1422,2721,1313
2010年11月,21828,4933,178724,85592,45922,36648,3554,2174,3187,1479,2759,1321
2010年10月,21454,4866,187015,83118,36891,25947,2974,1700,3073,1374,2678,1261
2010年9月,21306,4815,165192,73548,23533,20647,2052,1396,2705,1271,2574,1204
2010年8月,21151,4748,163401,71720,24774,22597,2413,1622,2702,1227,2565,1139
2010年7月,20659,4649,161367,64555,17526,15147,1911,1207,2656,1131,2320,971.1
2010年6月,17533,4586,139066,56073,12970,12338,1227,895.8,2599,1131,2382,993.5
2010年5月,17312,4455,149971,59668,18658,14189,1672,1020,2863,1186,2482,1046
2010年4月,17154,4287,165861,62045,28788,23141,2300,1497,3182,1319,2821,1186
2010年3月,17076,4143,179579,65374,25294,18821,2151,1304,3133,1274,2963,1200
2010年2月,16923,4077,174853,61744,14307,10011,1227,744.4,3068,1237,2890,1159
2010年1月,16767,4022,169411,56951,29105,18796,2358,1321,3307,1306,2964,1172
2010年累计,,,,,304312,241322,25131,16188,,,,
2009年12月,16660,3908,184655,59284,31950,20165,2695,1458,3334,1303,3040,1185
2009年11月,16484,3863,178652,57251,39151,24860,3435,1942,3361,1299,2924,1140
2009年10月,16410,3825,165927,49965,20004,12369,1769,999.4,3123,1147,2835,1047
2009年9月,16385,3777,153562,43340,28335,15864,2584,1336,3068,1124,2640,957.3
2009年8月,16188,3736,146363,40732,33367,17170,2913,1436,3478,1213,2663,1006
2009年7月,16140,3700,186119,49616,47335,23561,4172,2015,3454,1197,2948,1026
2009年6月,15724,3675,159108,42340,30859,15320,2982,1472,2997,1020,2668,949
2009年5月,15605,3555,141337,38449,24211,12865,2474,1302,2688,954.4,2486,905.2
2009年4月,15518,3508,132959,36294,30107,15633,3181,1637,2579,911.8,2332,835.1
2009年3月,15453,3447,127267,34207,25066,12489,2876,1425,2393,827.2,2037,711.2
2009年2月,15448,3445,111625,28765,26364,14026,3247,1714,2403,813.2,1987,655.6
2009年1月,15425,3444,106479,26617,9763,5154,1352,689.7,2019,648.6,1844,600.2
2009年累计,,,,,346512,189475,33680,17427,,,,
2008年12月,15410,3442,97252,24115,15725,7863,2288,1175,2101,661,1815,583.4
2008年11月,15287,3420,99153,23332,11882,5230,1832,874.1,2051,599.2,1679,488.6
2008年10月,15285,3415,91720,20348,7324,3072,1021,478,2267,634,1665,503.9
2008年9月,15268,3385,121615,26549,8117,3425,1062,456.9,2380,686.1,1802,584.6
2008年8月,15223,3341,127030,28406,7894,3915,917.4,438.3,2831,882.9,2285,679.9
2008年7月,15095,3307,146667,35217,15315,7945,1452,764.5,2952,938.9,2567,830.9
2008年6月,15033,3244,144508,33527,11322,5540,1020,495.8,3484,1099,2693,834
2008年5月,14980,3138,181247,43620,19793,9674,1426,690.4,3786,1215,3334,1086
2008年4月,14786,3006,194727,45517,18649,8253,1369,600.6,3705,1160,2991,963.8
2008年3月,14476,2903,181350,45439,19419,9114,1291,575,4472,1499,3357,1187
2008年2月,14301,2853,225846,55787,14230,6881,861.3,396.8,4696,1527,4123,1385
2008年1月,14198,2819,225355,52500,30760,15771,1772,874.1,5523,1668,4331,1424
2008年累计,,,,,180430,86683,16312,7820,,,,
